,Date,Price,Open,High,Low,Vol.,Change %
1632,09/30/2003,111.52,110.86,112.12,110.07,,0.61%
1633,09/29/2003,110.84,111.65,111.83,110.69,,-0.69%
1634,09/26/2003,111.61,112.12,112.35,111.57,,-0.46%
1635,09/25/2003,112.13,111.93,112.38,111.42,,0.27%
1636,09/24/2003,111.83,112.34,112.39,111.21,,-0.40%
1637,09/23/2003,112.28,112.28,112.34,110.85,,0.00%
1638,09/22/2003,112.28,112.38,112.72,111.35,,-1.60%
1639,09/19/2003,114.1,115.25,115.52,113.53,,-1.05%
1640,09/18/2003,115.31,116.04,116.2,114.72,,-0.65%
1641,09/17/2003,116.06,116.22,116.53,115.82,,-0.10%
1642,09/16/2003,116.18,117.4,117.47,115.99,,-1.07%
1643,09/15/2003,117.44,117.27,117.72,117.22,,0.11%
1644,09/12/2003,117.31,117.08,117.54,116.69,,0.18%
1645,09/11/2003,117.1,117.09,117.3,116.49,,-0.01%
1646,09/10/2003,117.11,116.82,117.25,116.62,,0.25%
1647,09/09/2003,116.82,116.79,116.98,116.03,,0.01%
1648,09/08/2003,116.81,117.61,117.73,116.35,,0.03%
1649,09/05/2003,116.78,116.78,117.18,116.39,,0.01%
1650,09/04/2003,116.77,115.88,117.11,115.73,,0.77%
1651,09/03/2003,115.88,116.44,116.62,115.8,,-0.47%
1652,09/02/2003,116.43,116.62,117.26,115.8,,-0.15%
1653,09/01/2003,116.6,116.76,116.81,116.33,,-0.27%
1654,08/29/2003,116.91,117.36,117.44,116.12,,-0.32%
1655,08/28/2003,117.29,117.42,117.65,117.21,,-0.14%
1656,08/27/2003,117.45,117.31,118.05,117.27,,0.07%
1657,08/26/2003,117.37,117.32,117.81,117.16,,0.03%
1658,08/25/2003,117.34,117.54,117.69,117.1,,-0.13%
1659,08/22/2003,117.49,117.78,118.09,117.28,,-0.25%
1660,08/21/2003,117.78,118.03,118.25,117.51,,-0.25%
1661,08/20/2003,118.08,118.39,118.84,117.79,,-0.26%
1662,08/19/2003,118.39,119.47,119.83,118.23,,-0.91%
1663,08/18/2003,119.48,119.17,119.82,119.05,,0.25%
1664,08/15/2003,119.18,119.07,119.31,118.7,,0.08%
1665,08/14/2003,119.08,119.11,119.72,118.88,,-0.07%
1666,08/13/2003,119.16,118.68,119.5,118.48,,0.36%
1667,08/12/2003,118.73,118.52,118.79,118.34,,0.17%
1668,08/11/2003,118.53,119.01,119.17,118.15,,-0.52%
1669,08/08/2003,119.15,119.04,119.3,118.8,,0.13%
1670,08/07/2003,119.0,120.26,120.28,118.75,,-1.07%
1671,08/06/2003,120.29,119.84,120.48,119.69,,0.40%
1672,08/05/2003,119.81,120.27,120.67,119.75,,-0.42%
1673,08/04/2003,120.32,119.97,120.64,119.67,,0.16%
1674,08/01/2003,120.13,120.55,120.73,119.78,,-0.34%
1675,07/31/2003,120.54,120.2,120.67,119.7,,0.27%
1676,07/30/2003,120.21,119.86,120.67,119.6,,0.23%
1677,07/29/2003,119.93,119.41,119.94,119.08,,0.39%
1678,07/28/2003,119.47,118.97,119.6,118.86,,0.64%
1679,07/25/2003,118.71,118.98,119.34,118.57,,-0.19%
1680,07/24/2003,118.94,118.77,119.37,118.53,,0.13%
1681,07/23/2003,118.79,118.99,119.16,118.57,,-0.29%
1682,07/22/2003,119.13,118.44,119.42,118.41,,0.53%
1683,07/21/2003,118.5,118.64,118.83,118.21,,-0.03%
1684,07/18/2003,118.53,118.74,119.27,118.23,,-0.22%
1685,07/17/2003,118.79,118.09,118.96,117.85,,0.58%
1686,07/16/2003,118.1,117.9,118.71,117.8,,0.10%
1687,07/15/2003,117.98,117.74,118.06,116.63,,0.21%
1688,07/14/2003,117.73,117.79,117.86,117.3,,-0.14%
1689,07/11/2003,117.89,117.65,118.04,117.5,,0.20%
1690,07/10/2003,117.66,117.78,118.08,117.35,,-0.15%
1691,07/09/2003,117.84,118.15,118.5,117.62,,-0.27%
1692,07/08/2003,118.16,118.1,118.73,117.6,,-0.07%
1693,07/07/2003,118.24,118.05,118.36,117.8,,0.19%
1694,07/04/2003,118.01,118.14,118.5,117.97,,-0.13%
1695,07/03/2003,118.16,118.14,118.69,117.83,,0.03%
1696,07/02/2003,118.12,119.35,119.53,117.89,,-1.08%
1697,07/01/2003,119.41,119.69,120.0,119.0,,-0.31%
1698,06/30/2003,119.78,119.71,120.25,119.6,,0.13%
1699,06/27/2003,119.62,119.42,120.11,119.14,,0.18%
1700,06/26/2003,119.4,117.93,119.49,117.91,,1.20%
1701,06/25/2003,117.98,117.83,118.19,117.29,,0.09%
1702,06/24/2003,117.87,117.82,118.1,117.55,,0.08%
1703,06/23/2003,117.78,118.47,118.63,117.45,,-0.45%
1704,06/20/2003,118.31,118.4,118.65,117.99,,-0.06%
1705,06/19/2003,118.38,117.9,119.12,117.88,,0.45%
1706,06/18/2003,117.85,118.14,118.75,117.65,,-0.25%
1707,06/17/2003,118.15,117.63,118.44,117.45,,0.42%
1708,06/16/2003,117.66,117.32,117.83,117.15,,0.21%
1709,06/13/2003,117.41,117.67,117.91,117.14,,-0.24%
1710,06/12/2003,117.69,117.75,117.99,117.45,,-0.08%
1711,06/11/2003,117.78,117.73,118.17,117.44,,0.03%
1712,06/10/2003,117.75,118.17,118.41,117.51,,-0.37%
1713,06/09/2003,118.19,118.72,118.81,117.78,,-0.40%
1714,06/06/2003,118.66,117.63,118.96,117.58,,0.84%
1715,06/05/2003,117.67,118.82,118.95,117.31,,-1.04%
1716,06/04/2003,118.91,119.1,119.41,118.32,,-0.29%
1717,06/03/2003,119.25,118.61,119.35,118.26,,0.54%
1718,06/02/2003,118.61,119.4,119.65,118.37,,-0.57%
1719,05/30/2003,119.29,118.02,119.66,118.01,,1.12%
1720,05/29/2003,117.97,118.55,119.19,117.91,,-0.51%
1721,05/28/2003,118.57,117.26,118.94,116.92,,1.10%
1722,05/27/2003,117.28,116.88,117.34,116.15,,0.37%
1723,05/26/2003,116.85,116.79,117.41,116.69,,-0.03%
1724,05/23/2003,116.88,117.17,117.46,116.72,,-0.25%
1725,05/22/2003,117.17,117.65,117.81,116.88,,-0.34%
1726,05/21/2003,117.57,116.65,117.6,116.5,,0.81%
1727,05/20/2003,116.62,117.14,117.42,116.6,,-0.44%
1728,05/19/2003,117.14,115.55,117.51,115.03,,0.90%
1729,05/16/2003,116.1,116.53,116.61,115.82,,-0.33%
1730,05/15/2003,116.48,116.25,116.58,115.25,,0.15%
1731,05/14/2003,116.31,116.75,116.88,115.55,,-0.44%
1732,05/13/2003,116.82,116.96,117.53,116.32,,-0.02%
1733,05/12/2003,116.84,117.21,117.28,116.28,,-0.47%
1734,05/09/2003,117.39,117.08,117.64,117.0,,0.23%
1735,05/08/2003,117.12,116.45,117.12,116.05,,0.64%
1736,05/07/2003,116.38,117.51,117.84,116.02,,-0.97%
1737,05/06/2003,117.52,118.56,118.77,117.4,,-0.90%
1738,05/05/2003,118.59,119.02,119.09,118.47,,-0.38%
1739,05/02/2003,119.04,118.58,119.38,118.37,,0.38%
1740,05/01/2003,118.59,118.89,119.01,118.12,,-0.24%
1741,04/30/2003,118.87,119.8,119.98,118.57,,-0.78%
1742,04/29/2003,119.81,120.43,120.75,119.6,,-0.54%
1743,04/28/2003,120.46,120.22,120.5,119.86,,0.21%
1744,04/25/2003,120.21,119.91,121.17,119.67,,0.20%
1745,04/24/2003,119.97,120.41,120.68,119.49,,-0.34%
1746,04/23/2003,120.38,119.87,120.66,119.76,,0.35%
1747,04/22/2003,119.96,120.55,120.77,119.34,,-0.45%
1748,04/21/2003,120.5,119.63,120.69,119.52,,0.55%
1749,04/18/2003,119.84,119.58,119.84,119.54,,0.15%
1750,04/17/2003,119.66,119.53,119.8,118.9,,0.08%
1751,04/16/2003,119.56,120.27,120.59,119.22,,-0.60%
1752,04/15/2003,120.28,120.32,120.72,119.99,,-0.05%
1753,04/14/2003,120.34,120.54,120.84,119.93,,-0.17%
1754,04/11/2003,120.54,119.65,120.91,119.48,,0.74%
1755,04/10/2003,119.65,120.07,120.31,119.13,,-0.37%
1756,04/09/2003,120.09,119.73,120.69,119.62,,0.20%
1757,04/08/2003,119.85,119.77,120.18,119.4,,0.11%
1758,04/07/2003,119.72,120.36,120.91,119.61,,-0.22%
1759,04/04/2003,119.98,119.36,120.21,119.14,,0.45%
1760,04/03/2003,119.44,118.95,119.73,118.48,,0.42%
1761,04/02/2003,118.94,117.97,119.26,117.61,,0.77%
1762,04/01/2003,118.03,117.99,118.5,117.75,,0.06%
1763,03/31/2003,117.96,119.84,120.21,117.8,,-1.54%
1764,03/28/2003,119.8,119.94,120.44,119.42,,-0.15%
1765,03/27/2003,119.98,119.96,120.07,119.56,,-0.04%
1766,03/26/2003,120.03,120.15,120.47,119.81,,-0.11%
1767,03/25/2003,120.16,120.73,120.87,119.35,,-0.53%
1768,03/24/2003,120.8,120.98,121.33,120.32,,-0.54%
1769,03/21/2003,121.46,120.24,121.9,120.18,,1.00%
1770,03/20/2003,120.26,120.52,120.59,119.71,,-0.18%
1771,03/19/2003,120.48,118.81,120.67,118.53,,1.36%
1772,03/18/2003,118.86,118.51,119.22,118.45,,0.25%
1773,03/17/2003,118.56,118.16,118.72,117.54,,0.26%
1774,03/14/2003,118.25,118.65,118.78,118.02,,-0.35%
1775,03/13/2003,118.67,117.33,118.75,117.3,,1.17%
1776,03/12/2003,117.3,117.08,117.6,117.0,,0.17%
1777,03/11/2003,117.1,116.79,117.32,116.63,,0.20%
1778,03/10/2003,116.87,117.1,117.16,116.39,,-0.18%
1779,03/07/2003,117.08,117.35,117.51,116.34,,-0.27%
1780,03/06/2003,117.4,117.31,117.61,117.13,,0.09%
1781,03/05/2003,117.29,117.93,117.98,116.96,,-0.48%
1782,03/04/2003,117.86,117.55,118.09,117.4,,0.26%
1783,03/03/2003,117.56,118.2,118.33,117.07,,-0.48%
1784,02/28/2003,118.13,117.64,118.29,117.58,,0.45%
1785,02/27/2003,117.6,117.06,117.82,116.8,,0.45%
1786,02/26/2003,117.07,117.26,117.65,117.02,,-0.18%
1787,02/25/2003,117.28,117.89,118.25,116.97,,-0.51%
1788,02/24/2003,117.88,118.97,119.0,117.55,,-0.71%
1789,02/21/2003,118.72,118.33,118.91,118.18,,0.32%
1790,02/20/2003,118.34,118.72,119.09,118.06,,-0.33%
1791,02/19/2003,118.73,119.01,119.24,118.52,,-0.24%
1792,02/18/2003,119.02,120.24,120.45,118.65,,-0.95%
1793,02/17/2003,120.16,120.4,120.81,119.97,,-0.12%
1794,02/14/2003,120.31,120.58,120.86,120.09,,-0.29%
1795,02/13/2003,120.66,121.37,121.5,120.2,,-0.48%
1796,02/12/2003,121.24,121.01,121.5,120.43,,0.18%
1797,02/11/2003,121.02,121.27,121.78,120.92,,-0.19%
1798,02/10/2003,121.25,120.33,121.41,120.23,,0.77%
1799,02/07/2003,120.32,119.78,120.44,119.57,,0.37%
1800,02/06/2003,119.88,120.02,120.29,119.54,,-0.10%
1801,02/05/2003,120.0,119.65,120.37,119.04,,0.21%
1802,02/04/2003,119.75,120.17,120.59,119.58,,-0.47%
1803,02/03/2003,120.31,119.75,120.88,119.66,,0.36%
1804,01/31/2003,119.88,119.01,120.09,118.84,,0.72%
